x: 105, y: 425, z: 43, 
x: 54, y: 225, z: 80, 
x: 53, y: 225, z: 80, 
x: 52, y: 225, z: 80, 
x: 51, y: 225, z: 80, 
x: 50, y: 225, z: 80, 
x: 49, y: 225, z: 80, 
x: 48, y: 225, z: 80, 
x: 47, y: 225, z: 80, 
x: 46, y: 225, z: 80, 
x: 45, y: 225, z: 80, 
x: 44, y: 225, z: 80, 
x: 43, y: 225, z: 80, 
x: 42, y: 225, z: 80, 
x: 41, y: 225, z: 80, 
x: 40, y: 225, z: 80, 
x: 39, y: 225, z: 80, 
x: 38, y: 225, z: 80, 
x: 37, y: 225, z: 80, 
x: 36, y: 225, z: 80, 
x: 35, y: 225, z: 80, 
